X直播电视台 youtube油管 频道
$c_start 测试$c_end
ceshi2,#genre#
香港有线新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=044f9b2390c94d7c9e754c2db6629370
博斯网球,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=37f1d61feb9e453285f04c9f135a5254
凤凰卫视中文,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=b3d4e9673d7441fbb7b85ca236ab10b6
凤凰卫视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=5e3298e28ede4dac836c488b82503181
凤凰卫视香港,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=39c0330cf15846aa88919c8faf1a8d12

有线18台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=14c4735585bd4ed2995da292140a2a80
有线财经信息,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=e72907ddb7384eb480a5ff9729871a0c
有线603,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ca4ef8da41414bfdaf96f593a6c373a1
有线综合娱乐,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=93877783cba04d31be76202dfbac4278
星河频道,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=67983dde83b94321a22e6b44108da25b
私人影院,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ed2ce5c1f0574617b0f952b5be2d6305
星空卫视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=9b340a4ead4249f99e3f09e93e61c3d0
龙华电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=fa8aa9f2576944848a2ec9abbebba287
东森电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=7a6e7ce1a53a4fb7badee265c7c787fa
龙祥电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4de39d996a134acf9a889e6f1d6cde86
纬来电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=7b31335be25a48ffb1cbe6cb355b8413
卫视电影台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=e6686a33b423409a87e517b79182be1d
星卫电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=6395e5e0e8e24d91a78110357299dcde
天映电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=e647cb713d294662a514996f24c90a5c
天映电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=18340c64aff64026be172607e90f53a3
AXN,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=591dcfdc5f4d425aa977ec3a6031700b
好莱坞电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=b9645dd6ca04461fa9d9c81bbf6a54b2
采昌,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=e3ff422578fb4569b6e919c3deef12f0
福克斯电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=93026c00fdaf41f68db6a07c5f896c28
靖天映画,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=e6e1cfdd5c4343089983a00d9a3237b9
靖天电影,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ebf8f299f9814cdc8bae511db250472b
靖洋戏剧,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2db53cdb71ba4298b40f59370daefaa7
靖天戏剧,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=f39fe7395ba1484ea880e4331a6708d6
靖天育乐,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=039b28282550498f98c1039d1726056d
靖天欢乐,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=14b9c116d7ad4a05985d3c93430d2381
靖天综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=6d52c59a79bd425d96fc2e85efb8b328
靖天日本,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=0ec6ac049a434daf9ded658912b83335
靖洋卡通,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=b03c8ff882884863b3bf0887b730ac74
靖天卡通,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=277b7eb8a5304328bbdaa9e6a1474411
东风卫视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ac3b7cf946754d29977896be99a3da94
台视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=93621d7855054ef7b110a676a360fa39
民视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=d69e33e311974e1491f21a0556a67b0e
中视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a2ede151e4b542f495ea1632d94fe5a1
华视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a91218dd42ed48c8a62676bb226d085f
中视新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=e120290db25b4c3a9ad0c60f3b02f71c
中视经典,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=96278f770bd1437999ff755d9e90206a
中视菁采,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=ee48efa193c0490d8ef9073f3e9dae2b
公视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=491a89a189ab45c1ad804ee03f533602
公视2,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=da30e71025f542d0b93a8e5f359e7196
公视3,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=7a82c99c656147299519daa96d33be7e
民视第一台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=806d9ea4db844f8ba0da83058c3c2e99
民视新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=8498cbe6c82f41f88fe93a0b60c4dd92
民视台湾台,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=d224c296cd784d44a3a72e76e81e2dea
台视新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=9d1f845e2af34803bb8a06e9a08e7254
台视财经,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=3afe8f5658e24e06b68ae985fb3f641b
台视综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=6cd0dc104ec043e3ba254c069ade9264
华视体育文化教育,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=2e7bbf3e702749abab250ba0d82aea8f
华视信息,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=80a7a2d155f64a5c8e51ed60590b0a6d
东森新闻,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a6fc98e31d034200a5af5b31a41d9f1a
东森戏剧,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=4327045a946446068ff533a665e034be
东森洋片,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=34ee82a3642e40b1b6e0c583ce16b8a7
东森综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=c99de194ea5d420ebd3482061369a065
东森超视,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=0c173845541340e4871e06cfcfb01c23
东森幼幼,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=a00bd449b9964b4296e083b8ec6c12df
纬来戏剧,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=cfc630c3ab2d4efaa18a9fbc56ce02d2
纬来综合,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=9c532ef6389042e0b53da1858bbeaf9e
纬来精采,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=b628b587ab7c451fab2853a5def84ece
纬来育乐,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=8292acacd90d44afa4b6efd20f293501
纬来日本,http://45.11.92.153/lbq/GetPlayUrl2228.php?id=286bf3db4b2240d194102ce5d7f89b86
